Album Name,Artist,Spotify URI,credit: YOUR NAME HERE!,Anthony Fantano's Score
Clash The Truth,Beach Fossils,spotify:album:5azIxtaUJfDBczJd9o6l7p,Austin Diaz,8
Push The Sky Away,Nick Cave and The Bad Seeds,spotify:album:6Yl951bwCSY70QjvLm1AEG,Austin Diaz,5
You're Nothing,Iceage,spotify:album:0JawjYkGw0Gwsny7A3p4yw,Abhinav Anand,8
Amok,Atoms For Peace,spotify:album:6dJZDZMNdBPZrJcNv57bEq,Papua sedang dijajah,7
Midcity,Clipping,spotify:album:1lgZgmdWGUt8Ypk5qgaRQH,Papua sedang dijajah,8
Crusher,Grave Babies,spotify:album:3xYNgo6oLAK8vxEQkKJtti,Papua sedang dijajah,7
Miracle Mile,STRFKR,spotify:album:5S4tasGYxpQuSEWLYvgyQp,Papua sedang dijajah,3
The Underground Resistance,Darkthrone,spotify:album:2GbdKYnwbDn7KV37EcVQN1,Papua sedang dijajah,6
The Raven That Refused To Sing (And Other Stories),Steven Wilson,spotify:album:2xJFvV7JzoYYMere5rqjVf,Papua sedang dijajah,5
Laid Out,Shlohmo,spotify:album:0mEr8tZZJgCnF5iqsrAxpV,Papua sedang dijajah,8
New Moon,The Men,spotify:album:09X9xLvflOxzpcHwMeP9Fs,Emerson K,4
Exai,Autechre,spotify:album:0vczEfoTXdjFAERCLMrc0Z,Emerson K,8
Woman,Rhye,spotify:album:6b1HPtDuYioXwmw5xLLFQ9,Emerson K,6
Abandon All Life,Nails,spotify:album:0HCZqugYM0BJmzsJJs5Mb5,Emerson K,7
Comedown Machine,The Strokes,spotify:album:4WnkQO4xD9ljQooB3VIxCV,Emerson K,5
Saturday,Dope Body,spotify:album:6pHM70IrCC4hq2zSVv09i4,Emerson K,7
The Next Day,David Bowie,spotify:album:16F7X7WOFZhMwQNsMil7lq,Emerson K,7
The 20/20 Experience,Justin Timberlake,spotify:album:0O82niJ0NpcptYRxogeEZu,Emerson K,5
Entrench,KEN mode,spotify:album:3ggzz5UXOEmmNwcKQj5cXF,Emerson K,7
I See Seaweed,The Drones,spotify:album:41uUEhLnPAriHE4jZalkEq,Emerson K,8
The North Borders,Bonobo,spotify:album:7sN6lCgPf1rbZYmA3edMKv,Emerson K,6
Meir,Kvelertak,spotify:album:5PAjZGAD8j0XZANLxJWulb,Emerson K,8
Nostalchic,Lapalux,spotify:album:33y7ROK0hxUX4sGq2RG5NW,Emerson K,7
Afraid of Heights,Wavves,spotify:album:7tbCuIt9zm1fRQyH2berwK,Emerson K,6
Wolf,"Tyler, The Creator",spotify:album:40QTqOBBxCEIQlLNdSjFQB,Emerson K,6
Hit The Waves,The Mary Onettes,spotify:album:2bUfgacnImRM2KrsHlKK6u,Emerson K,7
Har Nevo,The Black Heart Rebellion,spotify:album:7GQWnA19WBqYYidMLa7G6H,Emerson K,7
Shaking The Habitual,The Knife,spotify:album:6GWQ6fq8krujlglglMPyPu,Emerson K,9
Overgrown,James Blake,spotify:album:53FEYOXnplxBWoQMmWn82U,Emerson K,7
Sempiternal,Bring Me The Horizon,spotify:album:4dhfdOEUI4tfqwdgouFTQA,Emerson K,4
The Terror,The Flaming Lips,spotify:album:75TZpmhtJhYNuCWbERLTdP,Emerson K,6
II,Makthaverskan,spotify:album:1HeqJsDk6vB52GNBI0Qnx0,Emerson K,7
King Remembered In Time,Big K.R.I.T.,spotify:album:2Da0HE47K3xaw9LEfQt8Qe,( Anonymous ),7
Infestissumam,Ghost,spotify:album:32CbQps06lUasiux6N8tP3,Emerson K,5
Floating Coffin,Thee Oh Sees,spotify:album:6UpdRU3P0AAMA6MVCzsW3c,Emerson K,5
Muchacho,Phosphorescent,spotify:album:1lCaYGVwy25AGVzuNUU1rD,Emerson K,6
Wakin On A Pretty Daze,Kurt Vile,spotify:album:2imxOfDIDk2voAYCZP88u2,Emerson K,8
Indicud,Kid Cudi,spotify:album:5svfcB1dHyUWTWlhb4TihU,Emerson K,2
Twelve Reasons To Die,Ghostface Killah and Adrian Younge,spotify:album:2V9oyB7iZPhv14Cr54fbqT,Stan Monsta X,8
"Sugarbread 7""",Soap&Skin,spotify:album:4j96ghzFr5U0NUAG5Hkewh,Stan Monsta X,7
Mosquito,Yeah Yeah Yeahs,spotify:album:73ODakbR0bWEG1HZ03HZis,Emerson K,5
Monomania,Deerhunter,spotify:album:68gYjtaIWlvCscoxuCqAiZ,Emerson K,6
New History Warfare Vol. 3: To See More Light,Colin Stetson,spotify:album:5UTflDsfTAvheGvWaVD65d,Emerson K,7
Ready To Die,Iggy And The Stooges,spotify:album:2lrhmzDdex1RWWkJj4MlqH,Emerson K,4
Innocence Is Kinky,Jenny Hval,spotify:album:5p1eGQtdHsCkQ0cmbj31Vt,Emerson K,7
Excavation,The Haxan Cloak,spotify:album:2iMuDUx0AkuUemuFtmhUG1,Emerson K,8
Silence Yourself,Savages,spotify:album:0aMC5DDAF86GvYNPaivEKd,Emerson K,8
Legends Never Die,R.A. The Rugged Man,spotify:album:6WpTeB3ckAE0Z5SRRiN2NU,Emerson K,6
Acid Rap,Chance The Rapper,spotify:album:2VBcztE58pBKjIDS5oEgFh,Emerson K,6
Teethed Glory and Injury,Altar of Plagues,spotify:album:4ctGQ5IIOwmA2FmzM0c22A,Emerson K,9
Lung,Little Women,spotify:album:5rVlSiOtydDTH8WLAv1WeR,Emerson K,6
Bankrupt!,Phoenix,spotify:album:1s7a0VpP3aNEubiTgx6YlU,Emerson K,5
Hokey Fright,The Uncluded,spotify:album:0uvoz3TNktfBWqgwQFdpIl,Emerson K,7
True Romance,Charli XCX,spotify:album:4NUyHY8HwmpjGDdYGpiBtu,Emerson K,3
Moody Coup,Co La,spotify:album:6PivzpD5F3TINl5V23dKLm,Emerson K,6
Modern Vampires of the City,Vampire Weekend,spotify:album:2Qi2SySN2ePZwMLDSv9Krn,Emerson K,7
One Of Us Is The Killer,The Dillinger Escape Plan,spotify:album:3hVzkA43GoKicPTs5rDr0u,Emerson K,8
Random Access Memories,Daft Punk,spotify:album:4m2880jivSbbyEGAKfITCa,Emerson K,8
Trouble Will Find Me,The National,spotify:album:2JhR4tjuc3MIKa8v2JaKze,Emerson K,4
Endless Fantasy,Anamanaguchi,spotify:album:5hchtJ6859VJ38c0bc5R0S,Emerson K,6
Hanging Gardens,Classixx,spotify:album:0FjFTuRuTLhpjTKl1Rb2Cf,Emerson K,6
"Whenever, If Ever",The World Is A Beautiful Place And I Am No Longer Afraid To Die,spotify:album:40C7bBDW77dS5BBbNzcdmm,Emerson K,7
Obsidian,Baths,spotify:album:4niKC11eq7dRXiDVWsTdEy,Emerson K,6
Yessir Whatever,Quasimoto,spotify:album:0wRbpSytHFxVE5L9PLUGif,Emerson K,7
Silver Wilkinson,Bibio,spotify:album:635cLXDOf3Kh5WA9c63xm8,Emerson K,7
Sunbather,Deafheaven,spotify:album:2kKXGWaCEl06EKZ4DxBJIT,Emerson K,8
...Like Clockwork,Queens of the Stone Age,spotify:album:06S2JBsr4U1Dz3YaenPdVq,Emerson K,9
Settle,Disclosure,spotify:album:1lM5IfaqcIsXd6UCV3aDSs,Emerson K,7
Once I Was An Eagle,Laura Marling,spotify:album:2sys0w1WpiB1k6ZhfYCbBY,Emerson K,7
Apocalypse,Thundercat,spotify:album:6dDbUFp3HXqMWeywcPUZbb,Emerson K,3
Tomorrow's Harvest,Boards of Canada,spotify:album:159ORixBSSemxiualv1Woj,Emerson K,6
Immunity,Jon Hopkins,spotify:album:1rxWlYQcH945S3jpIMYR35,Emerson K,8
Yeezus,Kanye West,spotify:album:7D2NdGvBHIavgLhmcwhluK,SPOOPI,5
Self-Titled,Melt Yourself Down,spotify:album:1PSV7Hvy7i5Rt1nqK3dVhW,CB,7
With Love,Zomby,spotify:album:2CFi7ipU2eJSSgKm2jEkaF,Emerson K,5
Watching Movies With the Sound Off,Mac Miller,spotify:album:3ZNMAkjR6M4T0r6Of6jC08,Emerson K,6
Born Sinner,J. Cole,spotify:album:1NfrmcXk8xNennyxQ57JcW,Emerson K,5
Return to Annihilation,Locrian,spotify:album:51M3dERfSRwM7xhk8SezRy,Emerson K,6
Nandacollection,Kyary Pamyu Pamyu,spotify:album:284CrOYQvoB5GQAcmx5Xkx,Aaron Muir Hamilton,8
Summer Knights,Joey Bada$$,spotify:album:4Y05rEclWNlQLKD08SsJLC,Emerson K,7
Self-Titled,Run The Jewels,spotify:album:4Kg4MRg91XfDHbI6Sc0CWN,CB,8
Dour Candy,Billy Woods,spotify:album:0xNc2ff7Q6CX3wkfZ1iIMO,SPOOPI,7
Magna Carta... Holy Grail,Jay-Z,spotify:album:37uqAKt9dLsLob7yomDWY4,CB,6
The Inheritors,James Holden,spotify:album:6ljTPjGb8hwaRT6HPJYbfb,CB,7
The Headless Ritual,Autopsy,spotify:album:1Uyfo5I5Q7t1UMdzewRwo6,CB,6
Blood Donation,Mariam The Believer,spotify:album:35HRP3zJUKneitOlZAX5jF,CB,8
Tempest,Lycus,spotify:album:5Wfw8D5RfrXqkN1BFwnhpY,CB,7
The Blackest Beautiful,letlive.,spotify:album:6H2nW2jO80GWbM6c7iYfea,CB,5
Scratch N' Sniff (MINI),Stone Titan,spotify:album:4jaYvI0FE1fi0guvA5DwIR,CB,8
Slow Focus,Fuck Buttons,spotify:album:2GpgIyzxzxCNmkWL1EZW2C,CB,6
Self-Titled,Edward Sharpe & The Magnetic Zeros,spotify:album:7fq2IinHT3nElFjv7Ilxi3,CB,3
The Night's Gambit,Ka,spotify:album:6qgD4yTSCUD02K2QISDSj2,CB,8
Body Music,AlunaGeorge,spotify:album:3eSysZ5EvnyWZ2naPABIdd,CB,7
Ceres & Calypso In The Deep Time,Candy Claws,spotify:album:5KkGAZrad4N4rc5FriwgzU,CB,7
The Blind Hole,Dead In The Dirt,spotify:album:6WkdJkAffibFMN5tiWE4Dt,CB,6
Something Else,Tech N9ne,spotify:album:0V2ApMkgurWGcF0sc0u17w,CB,4
Fever Hunting,Modern Life Is War,spotify:album:0ongZyanhSd5wuBN294ue3,CB,7
Paracosm,Washed Out,spotify:album:72b7KBNzYH54BtZ5FBSFqi,CB,6
An Object,No Age,spotify:album:386lKRZJHLPFvYI2GQWtpY,CB,6
Doris,Earl Sweatshirt,spotify:album:5vRfIDOPJHy3W2wHWbzLlE,CB,6
Loud City Song,Julia Holter,spotify:album:3JhMmVL9ISUnRaVbrJ72OB,CB,8
Trap Lord,A$AP Ferg,spotify:album:3smlfAmejcKMmAPg1G2Kki,CB,7
6 Feet Beneath The Moon,King Krule,spotify:album:6zmDdgPRKrvYwXk8eWv3iK,CB,7
Dysnomia,Dawn of Midi,spotify:album:4wCpIX2LVk3lZkh4crNPtJ,CB,5
The Lords of Flatbush MIXTAPE /,The Underachievers,spotify:album:1Bv2ed3L8RNSOlvaHZdkzG,CB,5
Colored Sands,Gorguts,spotify:album:1qhgbP27HYf4iCiLbquXys,CB,8
Forever,Holograms,spotify:album:7fOGoSRk10CK34BpW2ZIgm,CB,6
Law & Order,Jonathan Rado,spotify:album:7sEdJ6BfGb7PsBv76OZfcc,CB,4
AM,Arctic Monkeys,spotify:album:78bpIziExqiI9qztvNFlQu,CB,3
Hesitation Marks,Nine Inch Nails,spotify:album:7GwKmNXAFgODzJOwaEVyji,CB,6
Pain Is Beauty,Chelsea Wolfe,spotify:album:4rpm9Ez8nfVsQvNmHDbgyp,CB,8
Dynamics,Holy Ghost!,spotify:album:6sKPX6bMmWQrM2LCVjMoBY,CB,7
Self-Titled,Factory Floor,spotify:album:03rpZWfIEF8ffupHkg3G3F,CB,6
The Electric Lady,Janelle Monáe,spotify:album:3bnHtSmmsgJiG82hGCmsq9,SPOOPI,7
Nostalgic 64,Denzel Curry,spotify:album:5EerXEYRJOhqDNhOBcMbH8,( Anonymous ),7
Kiss Land,The Weeknd,spotify:album:3hhDpPtCFuQbppwYgsVhMO,SPOOPI,5
Nature Noir,Crystal Stilts,spotify:album:4r4rHj8jfNTLGXma3lRXUV,SPOOPI,6
Self-Titled,MGMT,spotify:album:0a4MASgg8wxOyUeoOZzuhc,CB,6
Hubardo,Kayo Dot,spotify:album:1NbCHKiZBgdftwEKSt1FM0,SPOOPI,7
Vapor City,Machinedrum,spotify:album:52sjzzH6KtuhXi1jEc3LVx,SPOOPI,7
Dream River,Bill Callahan,spotify:album:09o1j1zgl0n8H6EJZXIvRi,SPOOPI,8
Nothing Was The Same,Drake,spotify:album:1XslIirSxfAhhxRdn4Li9t,SPOOPI,5
Is Survived By,Touché Amoré,spotify:album:2Qs1H2KjF6Bk2lSgFjQpOj,Papua sedang dijajah,8
R Plus Seven,Oneohtrix Point Never,spotify:album:68PRq4zj7YXMwiUq6FNGvR,Papua sedang dijajah,6
Old,Danny Brown,spotify:album:5SC0415RIGVX9ZfL0tfbAl,SPOOPI,7
Watcher,Haunted Horses,spotify:album:51vwvFu7t1kDoKOHsOcxsy,( Anonymous ),7
Psychic,Darkside,spotify:album:7jqNrm1l4wSxNYSjgK7tmF,Emerson K,8
Lousy With Sylvianbriar,of Montreal,spotify:album:0NxEDUyECiqT6zkXL4qDnX,Emerson K,8
My Name Is My Name,Pusha T,spotify:album:42oQv8fbI5CbeuAasf2ILC,Emerson K,6
Fetch,Melt-Banana,spotify:album:4C8VqFE4h4KWIsbAViqIby,Emerson K,9
Valonielu,Oranssi Pazuzu,spotify:album:6hZeJdfSgJ7fcICxGYItAK,Emerson K,6
Virgins,Tim Hecker,spotify:album:3GzIvKYXNOBViT8TveArjx,Emerson K,9
Static,Cults,spotify:album:6WnfWrfsfu7T9TXbHIFHX9,Emerson K,4
Race Music,Armand Hammer,spotify:album:19LWNrdEQop8uFOIwpKNJS,Emerson K,8
Flying Colours,Shad,spotify:album:1ysjuK1TypW8UZTQgcbGFQ,Emerson K,7
Burials,AFI,spotify:album:3pvmZwuBBm8Tt6NXDJkl14,Emerson K,2
Melophobia,Cage The Elephant,spotify:album:4EK8gtQfdVsmDTji7gBFlz,Emerson K,8
Chemistry of Consciousness,Toxic Holocaust,spotify:album:0jwJZDxGMm3SSm6LULhxgv,SPOOPI,6
Reflektor,Arcade Fire,spotify:album:4E0m7AIVc2d2QZMrMNXdMZ,Emerson K,5
Blood Tears,Sisu,spotify:album:3xoGtPB04Ig6BwrEcgYLFU,Emerson K,6
Beautiful Rewind,Four Tet,spotify:album:7gN7gWms3Uz0GLLtLYHybk,Emerson K,7
No Poison No Paradise,Black Milk,spotify:album:19pFdxG3feVWRFoXDJjPpM,Emerson K,8
The Marshall Mathers LP 2,Eminem,spotify:album:1UiPHgFputxSUssPibAVxc,Aaron Muir Hamilton,7
Big Machines and Peculiar Beings,The Debauchees,spotify:album:3VETsjeu7ZkO54itl2BNx5,Emerson K,7
"Portals To A Better, Dead World",Cara Neir,spotify:album:1DqsnayWVfrHyDzF9ZcAZ7,Emerson K,7
Artpop,Lady Gaga,spotify:album:2eRJUtI7nXrQ5uYQ7tzTo9,Emerson K,6
Government Plates,Death Grips,spotify:album:3T01oOjbrox1jz0pR112oV,Emerson K,6
Drone Logic,Daniel Avery,spotify:album:40CBXF9jJwK21mrqlmBr92,Emerson K,8
Matangi,M.I.A.,spotify:album:3dAxXNscIj0p53lBMEziYR,Emerson K,7
Julia With Blue Jeans On,Moonface,spotify:album:44L3lGMVcV20sc4EvlbhRV,Emerson K,7
Parasite Brain,Soupcans,spotify:album:6ItyNpphHt78NxZLMQG2GN,Emerson K,7
"Night Time, My Time",Sky Ferreira,spotify:album:1bvCVYPVl445mO690M2dOr,Emerson K,4
Cupid Deluxe,Blood Orange,spotify:album:1bsLkHcWAGUao6Z1dHOEIB,Emerson K,2
Ghost At The Finish Line,Quelle Chris,spotify:album:7jmGDoZYKYDLSiPR3oMVQN,Emerson K,7
Knock Madness,Hopsin,spotify:album:16SMGvTZrwtiJ132g69toP,Emerson K,3
Self-Titled,Arabrot,spotify:album:1XO0EJh68dyhl596SPi2Hj,CB,6
Aleph,Gesaffelstein,spotify:album:3MiiF9utmtGnLVITgl0JP7,Emerson K,5
Because The Internet,Childish Gambino,spotify:album:4GNIhgEGXzWGAefgN5qjdU,SPOOPI,5
How To Stop Your Brain In An Accident,Future Of The Left,spotify:album:0z5rucuDS60erocBIvpPTC,Emerson K,8
Rival Dealer,Burial,spotify:album:1yVoIc4Hhkhi9ovIcFVLmq,Emerson K,5
Self-Titled,Beyoncé,spotify:album:2noKUZhXwUhPQMgSr56T4G,Harrison Ressler,6
Forceps,Calvaiire,spotify:album:0VW6jKsocRXz3a0GBZhela,( Anonymous ),7
Nina,Xiu Xiu,spotify:album:5UJbUau9NfGZM7oLGgEJQK,Harrison Ressler,8
Alternate/Endings,Lee Bannon,spotify:album:2UCxazEK2LYNqFJYCWI4AN,Harrison Ressler,6
Spaces,Nils Frahm,spotify:album:0DFbQjp468sMiIMTrZdr5w,Harrison Ressler,7
Self-Titled,Murmur,spotify:album:3lwuqKZ18QJxhuqrwjsRis,SPOOPI,8
Fuck Off Get Free We Pour Light On Everything,Silver Mount Zion,spotify:album:12jvcjKhojRTR5OUJevLb6,Harrison Ressler,8
Transgender Dysphoria Blues,Against Me!,spotify:album:4MuH5XuLZFuDc6kB2CSapu,Harrison Ressler,5
Rave Tapes,Mogwai,spotify:album:7Bi4YiLqsBbXkWhFe7kMTp,Harrison Ressler,6
From All Purity,Indian,spotify:album:1rFCX8VEjIWN35Oe1evxBE,( Anonymous ),8
Try Not To Destroy Everything You Love,An Autumn For Crippled Children,spotify:album:30KbiuQYFDXzHtaOFw2hlZ,Harrison Ressler,7
The Unnatural World,Have A Nice Life,spotify:album:3fGQCe3TEdboL5RSVFuvRI,Harrison Ressler,8
Ghettoville,Actress,spotify:album:3aAvMKQtLLxIHGsW2qsTRA,Harrison Ressler,8
Dead,Young Fathers,spotify:album:4PishS8bjccWUr4CVrosmb,Harrison Ressler,6
The Satanist,Behemoth,spotify:album:7l0L2YHlQwAyI4QyZTIWGS,Harrison Ressler,9
Lord Steppington,Step Brothers,spotify:album:2Js7RiFDKjNJkVXHkICEaC,Harrison Ressler,8
Love Death Immortality,Glitch Mob,spotify:album:1g03ut9FlCdvFbOcSvUxjs,Harrison Ressler,3
Angel Guts: Red Classroom,Xiu Xiu,spotify:album:7nox0SRTfTyUKyfbNusbbN,Harrison Ressler,7
Burn Your Fire For No Witness,Angel Olsen,spotify:album:358elHWlgNqitp1lenb5Jn,Harrison Ressler,5
Benji,Sun Kil Moon,spotify:album:4pC2URLdvle8V6Um4qxh46,Harrison Ressler,9
Labyrinth Constellation,Artificial Brain,spotify:album:2iOQAM3STw2SoBn7XLdEuu,Harrison Ressler,8
Sun Structures,Temples,spotify:album:4fN8Wj4c4nrXj6kogr6zgl,Harrison Ressler,5
Terrestrials,Sunn O))) & Ulver,spotify:album:0oLFi7uTxUNDKwYt9up6Gl,Harrison Ressler,6
Oxymoron,Schoolboy Q,spotify:album:7Et3bSTLLqdABO1qCxUplS,Harrison Ressler,7
Self-Titled,St. Vincent,spotify:album:2FtneRtIF1I5HPBsIxSqf0,SPOOPI,7
Morning Phase,Beck,spotify:album:2Qx7dgA5VjX8JDQaXVxzHu,Harrison Ressler,4
Totem,White Suns,spotify:album:11ouGzmBnsDlJztJdr48fl,Harrison Ressler,8
Atlas,Real Estate,spotify:album:5k7WCAZPSbJYzjW5SCQ5sn,Harrison Ressler,3
G I R L,Pharrell,spotify:album:2lkQd5T32QHDOfFkEIPJKz,Harrison Ressler,3
The Rooms of the House,La Dispute,spotify:album:5m0NdXjQm038wphE4VSTPU,Harrison Ressler,7
Piñata,Freddie Gibbs & Madlib,spotify:album:43uErencdmuTRFZPG3zXL1,Harrison Ressler,9
Awake,Tycho,spotify:album:7HWdGPosPkb9GY5MOgLgSW,Harrison Ressler,6
Waterfall,Evian Christ,spotify:album:7LRVfsfdCmdmriznhlDR9G,Harrison Ressler,7
Lost In The Dream,The War On Drugs,spotify:album:14xxjLlbGy8ACm4MorBjD5,Harrison Ressler,7
Eighteen Hours of Static,Big Ups,spotify:album:2tpHiwd2jLLVR4gi4G8YEI,Harrison Ressler,8
Singles,Future Islands,spotify:album:1dKh4z5Aayt8FFDWjO5FDh,Harrison Ressler,7
Recess,Skrillex,spotify:album:7rf1qZJ6hGSlPN7K9ShsVV,Thomas Buckley,5
Mess,Liars,spotify:album:5Yyt7GBe2YwY3ddjsbv1Em,Thomas Buckley,8
Present Tense,Wild Beasts,spotify:album:6tvhmvSirmJUmkcdMx9BTh,Thomas Buckley,7
Wakedafucup,Onyx,spotify:album:01feNPAeBVmM7Bejc5EWaZ,Thomas Buckley,7
All Love's Legal,PLANNINGTOROCK,spotify:album:0Cc7BlKV0vZnGPx0fAFqY7,Thomas Buckley,10
All Love's Legal,PLANNINGTOROCK,spotify:album:0Cc7BlKV0vZnGPx0fAFqY7,Thomas Buckley (this is redundant),0
Jimmy The Burnout,Nocando,spotify:album:11cdHD3iyJaA7dAVLUv8tM,( Anonymous ),6
Salad Days,Mac Demarco,spotify:album:1l9d1Zj9Iv2eOcdObVhdMy,Emerson K,5
No Mythologies To Follow,Mø,spotify:album:3jvBPJAaByrTeNkEgvwZeu,Emerson K,6
Baby,White Hinterland,spotify:album:2JPc4jd0kaE4vKv6mlt5XW,Emerson K,8
Hot Dreams,Timber Timbre,spotify:album:2U1BUKvsYIkUik7xEhAP0C,Emerson K,8
Dissed and Dismissed,Tony Molina,spotify:album:6zmGy8l0Xz4Snqn00zLSQq,Emerson K,7
Enter The Slasher House,Avey Tare's Slasher Flicks,spotify:album:3aySHuFfYySYxYCdznqRhV,Emerson K,5
Wasted Years,OFF!,spotify:album:3HmyNiUlEpTzoyVfu2Br9t,Emerson K,7
Here And Nowhere Else,Cloud Nothings,spotify:album:3NNSJt3gWSmPmnjCwZyLA5,Emerson K,6
Self-Titled,Sisyphus,spotify:album:7cD7cpvMp636T6umawpsgK,SPOOPI,7
So It Goes,Ratking,spotify:album:3hXl1HiPIzbR1alZy3Eaf3,Thomas Buckley,8
Z EP/ALBUM REVIEW ft. Cakes Da Killa,SZA,spotify:album:2qCyMMQ785sPH4Yx25GQZ8,( Anonymous ),4
It's Album Time,Todd Terje,spotify:album:4pefQ21iSk8hdnxw3WSB5Y,Emerson K,6
Strange Journey Vol. 3,CunninLynguists,spotify:album:0bEZDwWaYrRZNfatVRsoTJ,Emerson K,7
PRAYER FOR TERRENE,IDYLLS,spotify:album:5GdChEOmfFnKr5QAD3yjKp,Emerson K,8
Sacred White Noise,Thantifaxath,spotify:album:5jxBi6eZrzosLglD1l23XG,Emerson K,8
"Home, Like NoPlace Is There",The Hotelier,spotify:album:5jfqj3O8WU3755J2OK19rd,Emerson K,6
Boy,Carla Bozulich,spotify:album:10iUOfCg6KllWGfS2EXwXA,Emerson K,8
Built On Glass,Chet Faker,spotify:album:6DwdzG4UGYLxJ2p7bd483v,Eammon Hart,3
Enclosure,John Frusciante,spotify:album:4cHNGH23wQfSmv8t49rwjH,Stan Monsta X,2
P.T.S.D.,Pharoahe Monch,spotify:album:1J890E9yH3NSp6MVimHQpz,Stan Monsta X,7
Indie Cindy,Pixies,spotify:album:4vFlR1iZibpvSlzsW9BMdU,Stan Monsta X,4
Death Mask,Lord Mantis,spotify:album:3lIiMLGEeHJZgLvNx4GxaJ,Emerson K,6
Nikki Nack,tUnE-yArDs,spotify:album:7fBKkyLmSRlz3BAUfjYYFv,Emerson K,8
Honest,Future,spotify:album:5rbqupVSYwvEmXBUnFtUf7,Emerson K,2
More Than Any Other Day,Ought,spotify:album:6Y1StvNpDomvTkBgtgHIlU,Emerson K,7
Divide & Exit,Sleaford Mods,spotify:album:0lYixJVrfRzhc5REZwBUgg,Emerson K,6
III,BADBADNOTGOOD,spotify:album:2VRbf914JFe94E5tHumySe,Emerson K,7
Christmas Island,Andrew Jackson Jihad,spotify:album:5KvX1X4s3Kh7uQHepxeKJA,Emerson K,5
Everyday Robots,Damon Albarn,spotify:album:5SzhltQSSi1HUMi5cveZIZ,Emerson K,5
I Never Learn,Lykke Li,spotify:album:4fGqfyineAZmulNxgitERh,Emerson K,6
Turn Blue,The Black Keys,spotify:album:6TvxpBzf9c8H1fsrAaQ8t3,Emerson K,4
Nabuma Rubberband,Little Dragon,spotify:album:7cRFJj0IQqDZZ3Gm03aGbb,Emerson K,6
Self-TItled,Ibibio Sound Machine,spotify:album:6fpXOuVVRCTVScpnBTBtG8,Emerson K,7
To Be Kind,Swans,spotify:album:4dq7JNcHKrnozzFQg5bpmn,Emerson K,10
White Women,Chromeo,spotify:album:1rqJZhedmCFNbaoTRQz9Zj,Emerson K,5
Splinters,Vallenfyre,spotify:album:5om3qjsg8yR3LKSYwN9AC3,Emerson K,7
Ultima II Massage,Tobacco,spotify:album:2G172t9joEhgY1QNYP4nAU,Emerson K,8
...And Then You Shoot Your Cousin,The Roots,spotify:album:6kYqws8vRcaUKTjFnJRb4X,Emerson K,4
No Peace,Trash Talk,spotify:album:1JSanboctECdzwkzLTbys0,Emerson K,5
In Conflict,Owen Pallett,spotify:album:1VWQxLabA378NtSe57gaW4,Emerson K,7
Are We There,Sharon Van Etten,spotify:album:0F1pMhF8Vy74nKkQeLBfrd,Emerson K,6
Self-Titled,Eyehategod,spotify:album:5h6sPfC6DpyaCoa7pn8hDT,Emerson K,6
CLPPNG,clipping.,spotify:album:0nzammMx8yd48selZLWfUx,Papua Sedang dijajah,9
Ghost Stories,Coldplay,spotify:album:2G4AUqfwxcV1UdQjm2ouYr,Papua Sedang dijajah,4
NEON iCON,RiFF RAFF,spotify:album:0bWUFcpv1R7FeAgYac8vru,Papua Sedang dijajah,5
Sunbathing Animal,Parquet Courts,spotify:album:2hamtboXQEXAt87uUG8Gd5,Papua Sedang dijajah,4
Good To Be Home,Blu,spotify:album:4H0HROzgRrRkJirEGrwGvQ,David Douglas Bruce,6
A U R O R A,Ben Frost,spotify:album:2hVGkLbETH03giJCwRfjaN,Papua Sedang dijajah,5
Blissfucker,Trap Them,spotify:album:4UvIV3bGAXNEfTzJp1Wl5w,Papua Sedang dijajah,5
Lazaretto,Jack White,spotify:album:36LXzRarDP8TU8K0REGpt6,David Douglas Bruce,5
Esoteric Warfare,Mayhem,spotify:album:5BLMX09kVilcrVjl6yBCEN,Papua Sedang dijajah,7
Ultraviolence,Lana Del Rey,spotify:album:2e3doCyb0qn2JeKLsh2Xbo,Papua Sedang dijajah,2
Reality Testing,Lone,spotify:album:2JBrH4OqnSCUKXqFEEakkK,Papua Sedang dijajah,3
Why Do The Heathen Rage?,The Soft Pink Truth,spotify:album:7uNcmjJCceIIO3N4qH6q4L,Papua Sedang dijajah,7
Dark Comedy,Open Mike Eagle,spotify:album:3hSppPElM044DnIafFTg96,Papua Sedang dijajah,8
These Days...,Ab-Soul,spotify:album:021zMZKO2pUA3yoUQFW2uy,Papua Sedang dijajah,5
Once More 'Round the Sun,Mastodon,spotify:album:7mEkBi9a2p2f1WQbnH8Qk5,Papua Sedang dijajah,7
Connecticut Casual,Apathy,spotify:album:7a5BZlFvYMujkQjerJIZVn,Stan Monsta X,8
Crashing Diseases and Incurable Airplanes,USA Out of Vietnam,spotify:album:15T0RoKAziPvD6qt6nwKFM,Stan Monsta X,7
Sea When Absent,A Sunny Day In Glasgow,spotify:album:6V15ZxQvFbfbajjXEetZrL,Stan Monsta X,7
Want,Wreck and Reference,spotify:album:23hEE9bNc75jFSqUKtMgPO,Stan Monsta X,6
The Beast of Left and Right,Lazer/Wulf,spotify:album:6D22jTaxmoac0IFqJyOAfQ,Stan Monsta X,7
Celestite,Wolves In the Throne Room,spotify:album:3CZ1efJZ8G1hDBETkFuoxw,Stan Monsta X,8
1000 Forms of Fear,Sia,spotify:album:3xFSl9lIRaYXIYkIn3OIl9,Stan Monsta X,7
